id,What is your gender?,What is your age?,What was the most important consideration for you in choosing this product?,Another question 1,Another question 2,Yet another question,Another quality,Another quality 2,Yet another quality
858,Genderqueer,35,Brand,neutral,somewhat agree,somewhat interested,Price,Design,Positive Reviews
859,Polygender,28,Brand,very unlikely,strongly agree,somewhat interested,Price,Design,Positive Reviews
860,Genderqueer,41,,,,,,,
861,Non-binary,67,Brand,very likely,strongly disagree,somewhat interested,Price,Design,Positive Reviews
862,Agender,35,Brand,very likely,strongly disagree,very interested,Price,Design,Positive Reviews
863,Genderfluid,47,Brand,neutral,somewhat disagree,somewhat interested,Price,Design,Positive Reviews
864,Genderfluid,29,Brand,somewhat unlikely,somewhat disagree,very interested,Price,Design,Positive Reviews
865,Male,63,,,,,,,
866,Polygender,27,,,,,,,
867,Male,56,Brand,very likely,strongly agree,somewhat interested,Price,Design,Positive Reviews
868,Bigender,80,,,,,,,
869,Agender,70,,,,,,,
870,Bigender,34,Brand,very unlikely,somewhat disagree,very interested,Price,Design,Positive Reviews
871,Agender,54,,,,,,,
872,Non-binary,39,Brand,very likely,strongly disagree,neutral,Price,Design,Positive Reviews
873,Genderfluid,75,Brand,very likely,strongly agree,neutral,Price,Design,Positive Reviews
874,Genderfluid,55,Brand,somewhat unlikely,strongly agree,not interested,Price,Design,Positive Reviews
875,Genderqueer,23,,,,,,,
876,Bigender,24,Brand,neutral,somewhat disagree,somewhat interested,Price,Design,Positive Reviews
877,Polygender,27,Brand,somewhat unlikely,strongly disagree,neutral,Price,Design,Positive Reviews
878,Male,31,,,,,,,
879,Genderfluid,73,,,,,,,
880,Female,75,,,,,,,
881,Bigender,61,Brand,very likely,strongly agree,very interested,Price,Design,Positive Reviews
882,Non-binary,21,Brand,somewhat likely,neutral,not interested,Price,Design,Positive Reviews
883,Polygender,66,Brand,somewhat unlikely,somewhat agree,not interested,Price,Design,Positive Reviews
884,Bigender,39,,,,,,,
885,Female,47,,,,,,,
886,Genderfluid,48,Brand,very likely,neutral,very interested,Price,Design,Positive Reviews
887,Bigender,33,,,,,,,
888,Bigender,29,,,,,,,
889,Female,18,,,,,,,
890,Genderfluid,57,,,,,,,
891,Non-binary,80,Brand,very likely,neutral,neutral,Price,Design,Positive Reviews
892,Genderfluid,64,Brand,somewhat likely,somewhat agree,somewhat interested,Price,Design,Positive Reviews
893,Genderqueer,72,,,,,,,
894,Genderfluid,74,,,,,,,
895,Male,37,,,,,,,
896,Male,69,,,,,,,
897,Genderfluid,51,Brand,somewhat likely,somewhat agree,neutral,Price,Design,Positive Reviews
898,Genderqueer,60,,,,,,,
899,Genderfluid,44,Brand,neutral,strongly agree,not interested,Price,Design,Positive Reviews
900,Agender,77,Brand,somewhat likely,strongly agree,neutral,Price,Design,Positive Reviews
901,Bigender,37,,,,,,,
902,Genderfluid,80,Brand,somewhat likely,somewhat agree,not interested,Price,Design,Positive Reviews
903,Polygender,60,Brand,somewhat unlikely,neutral,neutral,Price,Design,Positive Reviews
904,Female,80,Brand,somewhat likely,strongly agree,somewhat interested,Price,Design,Positive Reviews
905,Polygender,62,Brand,neutral,neutral,somewhat interested,Price,Design,Positive Reviews
906,Genderfluid,37,Brand,very unlikely,strongly disagree,very interested,Price,Design,Positive Reviews
907,Genderqueer,41,Brand,somewhat likely,somewhat agree,somewhat interested,Price,Design,Positive Reviews
908,Male,79,Brand,very unlikely,strongly agree,neutral,Price,Design,Positive Reviews
909,Genderfluid,67,Brand,very likely,somewhat disagree,very interested,Price,Design,Positive Reviews
910,Female,35,Brand,somewhat unlikely,somewhat disagree,somewhat interested,Price,Design,Positive Reviews
911,Female,77,,,,,,,
912,Female,63,Brand,somewhat unlikely,strongly disagree,neutral,Price,Design,Positive Reviews
913,Genderfluid,59,,,,,,,
914,Non-binary,21,Brand,very likely,strongly agree,neutral,Price,Design,Positive Reviews
915,Male,75,Brand,very likely,somewhat agree,neutral,Price,Design,Positive Reviews
916,Agender,58,,,,,,,
917,Genderqueer,60,,,,,,,
918,Polygender,72,,,,,,,
919,Male,67,Brand,somewhat unlikely,neutral,not interested,Price,Design,Positive Reviews
920,Genderqueer,27,,,,,,,
921,Polygender,68,Brand,very unlikely,somewhat disagree,neutral,Price,Design,Positive Reviews
922,Female,49,,,,,,,
923,Genderfluid,32,Brand,somewhat likely,somewhat agree,very interested,Price,Design,Positive Reviews
924,Non-binary,24,,,,,,,
925,Polygender,28,Brand,neutral,strongly agree,neutral,Price,Design,Positive Reviews
926,Non-binary,50,Brand,neutral,strongly agree,somewhat interested,Price,Design,Positive Reviews
927,Genderqueer,69,Brand,very likely,somewhat agree,somewhat interested,Price,Design,Positive Reviews
928,Agender,25,,,,,,,
929,Genderqueer,47,Brand,neutral,strongly agree,neutral,Price,Design,Positive Reviews
930,Bigender,55,,,,,,,
931,Bigender,57,Brand,somewhat unlikely,somewhat disagree,neutral,Price,Design,Positive Reviews
932,Polygender,62,Brand,somewhat unlikely,neutral,somewhat interested,Price,Design,Positive Reviews
933,Non-binary,63,Brand,very likely,strongly agree,neutral,Price,Design,Positive Reviews
934,Agender,35,Brand,neutral,neutral,neutral,Price,Design,Positive Reviews
935,Genderqueer,31,Brand,somewhat unlikely,somewhat agree,neutral,Price,Design,Positive Reviews
936,Bigender,26,,,,,,,
937,Polygender,54,Brand,somewhat likely,neutral,very interested,Price,Design,Positive Reviews
938,Non-binary,60,,,,,,,
939,Non-binary,55,Brand,somewhat unlikely,somewhat disagree,very interested,Price,Design,Positive Reviews
940,Bigender,20,Brand,very unlikely,neutral,neutral,Price,Design,Positive Reviews
941,Agender,49,Brand,neutral,strongly agree,not interested,Price,Design,Positive Reviews
942,Agender,58,,,,,,,
943,Genderqueer,25,Brand,somewhat unlikely,strongly disagree,neutral,Price,Design,Positive Reviews
944,Female,22,Brand,very likely,strongly agree,not interested,Price,Design,Positive Reviews
945,Polygender,80,,,,,,,
946,Female,77,,,,,,,
947,Non-binary,33,Brand,very unlikely,strongly agree,somewhat interested,Price,Design,Positive Reviews
948,Male,47,,,,,,,
949,Male,26,,,,,,,
950,Agender,78,Brand,very likely,somewhat disagree,very interested,Price,Design,Positive Reviews
951,Male,76,,,,,,,
952,Bigender,79,,,,,,,
953,Genderqueer,50,Brand,somewhat unlikely,neutral,very interested,Price,Design,Positive Reviews
954,Male,72,Brand,neutral,neutral,not interested,Price,Design,Positive Reviews
955,Genderfluid,22,,,,,,,
956,Polygender,16,Brand,somewhat unlikely,strongly agree,not interested,Price,Design,Positive Reviews
957,Female,74,,,,,,,
958,Polygender,59,Brand,very likely,somewhat disagree,not interested,Price,Design,Positive Reviews
959,Bigender,79,Brand,very likely,strongly disagree,not interested,Price,Design,Positive Reviews
960,Genderqueer,79,Brand,very unlikely,somewhat disagree,somewhat interested,Price,Design,Positive Reviews
961,Polygender,16,,,,,,,
962,Bigender,34,Brand,very likely,somewhat disagree,somewhat interested,Price,Design,Positive Reviews
963,Female,34,,,,,,,
964,Female,40,Brand,somewhat unlikely,neutral,not interested,Price,Design,Positive Reviews
965,Non-binary,32,Brand,neutral,strongly disagree,not interested,Price,Design,Positive Reviews
966,Male,58,Brand,very likely,somewhat agree,neutral,Price,Design,Positive Reviews
967,Male,38,Brand,neutral,neutral,very interested,Price,Design,Positive Reviews
968,Female,60,Brand,very likely,somewhat disagree,very interested,Price,Design,Positive Reviews
969,Non-binary,24,,,,,,,
970,Genderqueer,54,Brand,neutral,somewhat disagree,neutral,Price,Design,Positive Reviews
971,Genderqueer,63,,,,,,,
972,Bigender,36,,,,,,,
973,Male,33,Brand,very unlikely,somewhat agree,neutral,Price,Design,Positive Reviews
974,Female,71,,,,,,,
975,Bigender,48,,,,,,,
976,Female,59,Brand,very likely,neutral,somewhat interested,Price,Design,Positive Reviews
977,Polygender,29,,,,,,,
978,Genderfluid,46,,,,,,,
979,Genderqueer,37,Brand,somewhat unlikely,strongly disagree,very interested,Price,Design,Positive Reviews
980,Male,57,Brand,very likely,strongly agree,not interested,Price,Design,Positive Reviews
981,Genderfluid,17,,,,,,,
982,Bigender,31,Brand,very unlikely,neutral,somewhat interested,Price,Design,Positive Reviews
983,Female,67,Brand,very unlikely,somewhat disagree,not interested,Price,Design,Positive Reviews
984,Agender,64,Brand,very unlikely,strongly disagree,very interested,Price,Design,Positive Reviews
985,Genderfluid,47,Brand,somewhat likely,neutral,neutral,Price,Design,Positive Reviews
986,Agender,37,Brand,neutral,strongly disagree,very interested,Price,Design,Positive Reviews
987,Non-binary,68,,,,,,,
988,Female,52,,,,,,,
989,Female,40,Brand,very unlikely,strongly disagree,neutral,Price,Design,Positive Reviews
990,Genderqueer,23,Brand,neutral,strongly disagree,very interested,Price,Design,Positive Reviews
991,Genderfluid,47,Brand,neutral,somewhat disagree,not interested,Price,Design,Positive Reviews
992,Female,26,,,,,,,
993,Male,58,Brand,somewhat unlikely,strongly disagree,neutral,Price,Design,Positive Reviews
994,Bigender,61,,,,,,,
995,Non-binary,65,Brand,very unlikely,somewhat disagree,not interested,Price,Design,Positive Reviews
996,Agender,22,,,,,,,
997,Agender,57,,,,,,,
998,Genderqueer,16,,,,,,,
999,Male,44,,,,,,,
1000,Agender,80,Brand,very likely,somewhat agree,very interested,Price,Design,Positive Reviews
